EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
71	27627	29017	30729	32800	34967	37271	39212	41160	42603	43257	43379	43145	42891	42710	42866	43643	44851	46317	47711	49053	50406	51743	53268	54965	57146	59596	62531	64949	66438	70339	76994	80501	83659	86349	88993	91570	93959	95992	98003	100237	102901	105616	108060	110028	111525	112647	113410	113566	112983	112103	112054	113164	115575	118412	120806	121774	121826	121529	122005																																																												
72	25822	26866	28239	29926	31965	34100	36370	38289	40214	41650	42312	42455	42250	42022	41864	42036	42816	44019	45474	46864	48202	49543	50877	52395	54087	56267	58853	61637	64034	65479	69320	75893	79367	82499	85170	87797	90359	92735	94760	96763	98987	101637	104336	106770	108731	110228	111354	112126	112296	111735	110880	110847	111959	114359	117180	119563	120535	120600	120319																																																												
73	24111	25043	26077	27431	29092	31098	33198	35434	37328	39232	40658	41329	41495	41315	41112	40977	41165	41946	43142	44590	45971	47297	48633	49961	51473	53167	55456	57915	60669	63014	64436	68231	74718	78159	81263	83914	86522	89066	91428	93444	95439	97652	100285	102967	105388	107342	108838	109969	110748	110934	110396	109567	109550	110664	113051	115855	118226	119202	119280																																																												
74	22483	23305	24229	25251	26585	28219	30189	32253	34452	36320	38200	39616	40297	40480	40328	40151	40040	40243	41025	42216	43653	45020	46338	47667	48990	50504	52298	54469	56901	59599	61909	63322	67069	73467	76870	79943	82572	85160	87685	90031	92036	94022	96222	98836	101500	103905	105852	107347	108480	109267	109469	108955	108154	108153	109270	111642	114427	116784	117763																																																												
75	20856	21643	22458	23371	24380	25693	27297	29228	31254	33412	35253	37107	38512	39198	39402	39278	39129	39042	39262	40049	41233	42652	44009	45320	46644	47970	49573	51265	53411	55792	58446	60728	62133	65830	72131	75494	78534	81138	83703	86206	88534	90528	92502	94687	97281	99924	102313	104250	105742	106879	107674	107891	107404	106632	106648	107765	110122	112885	115227																																																												
76	19357	19981	20759	21565	22466	23461	24749	26320	28210	30193	32308	34118	35943	37332	38026	38251	38158	38039	37977	38218	39008	40180	41587	42935	44241	45567	46975	48487	50160	52257	54595	57210	59464	60860	64503	70698	74018	77021	79598	82137	84616	86924	88904	90865	93035	95605	98224	100595	102521	104010	105149	105952	106186	105725	104984	105018	106136	108474	111214																																																												
77	17922	18452	19071	19837	20632	21517	22495	23756	25291	27134	29070	31135	32913	34704	36076	36777	37025	36963	36875	36844	37105	37892	39057	40452	41792	43100	44488	45824	47319	48950	51005	53306	55880	58104	59489	63072	69154	72425	75388	77934	80444	82897	85182	87146	89092	91243	93787	96380	98729	100643	102127	103268	104078	104329	103897	103188	103241	104359	106677																																																												
78	16585	16996	17522	18133	18885	19665	20532	21488	22717	24210	26000	27883	29898	31637	33391	34742	35451	35720	35690	35637	35637	35912	36701	37858	39241	40577	41930	43257	44577	46033	47632	49650	51913	54443	56632	58006	61523	67480	70697	73615	76128	78606	81028	83287	85233	87162	89291	91806	94369	96694	98593	100071	101213	102030	102299	101897	101223	101295	102413																																																												
79	15193	15648	16058	16576	17175	17909	18670	19516	20446	21638	23083	24814	26644	28601	30297	32010	33339	34052	34342	34347	34329	34349	34643	35433	36581	37953	39316	40615	41922	43209	44636	46208	48189	50409	52890	55041	56401	59845	65667	68824	71693	74167	76608	78996	81226	83151	85060	87164	89646	92175	94472	96354	97825	98966	99790	100077	99708	99071	99164																																																												
80	13786	14250	14698	15104	15612	16197	16909	17648	18468	19370	20521	21913	23589	25358	27254	28902	30570	31872	32586	32899	32937	32939	32989	33300	34091	35229	36615	37924	39200	40474	41735	43136	44679	46619	48792	51219	53328	54671	58036	63710	66802	69614	72046	74446	76795	78992	80893	82777	84853	87298	89789	92055	93916	95377	96516	97346	97651	97316	96718																																																												
81	12362	12838	13291	13730	14131	14627	15196	15886	16602	17394	18266	19373	20719	22332	24037	25865	27462	29077	30348	31064	31396	31451	31483	31560	31888	32678	33828	35157	36439	37681	38926	40163	41536	43048	44943	47064	49432	51494	52817	56096	61609	64629	67380	69763	72118	74424	76582	78455	80313	82357	84759	87207	89437	91275	92723	93859	94694	95018	94717																																																												
82	10947	11415	11876	12318	12748	13142	13626	14178	14845	15537	16302	17142	18211	19502	21048	22683	24439	25977	27535	28773	29485	29819	29901	29960	30063	30408	31216	32319	33615	34856	36065	37283	38494	39837	41313	43159	45223	47526	49537	50838	54022	59362	62303	64986	67317	69620	71878	73995	75836	77663	79671	82026	84426	86615	88426	89859	90990	91828	92171																																																												
83	9591	10017	10466	10913	11342	11761	12149	12619	13155	13797	14464	15201	16012	17033	18266	19739	21300	22975	24448	25947	27144	27835	28178	28284	28369	28496	28874	29652	30727	31976	33179	34357	35544	36726	38035	39472	41264	43266	45498	47453	48728	51811	56964	59818	62427	64699	66946	69151	71220	73025	74818	76784	79087	81433	83578	85357	86773	87896	88737																																																												
84	8337	8701	9108	9539	9968	10383	10789	11167	11622	12138	12754	13394	14101	14873	15843	17013	18409	19889	21477	22882	24313	25452	26126	26475	26601	26709	26881	27250	28011	29045	30250	31416	32559	33713	34863	36133	37528	39260	41195	43350	45243	46489	49461	54413	57174	59702	61909	64094	66239	68256	70021	71774	73695	75939	78226	80321	82064	83459	84572																																																												
85	7197	7503	7849	8235	8645	9053	9450	9840	10205	10642	11134	11720	12329	12998	13729	14644	15747	17060	18452	19950	21280	22628	23715	24367	24716	24860	25017	25187	25561	26296	27293	28453	29578	30683	31800	32914	34143	35489	37158	39019	41091	42917	44130	46983	51722	54381	56821	58957	61074	63154	65113	66832	68541	70411	72591	74813	76852	78555	79925																																																												
86	6167	6424	6712	7037	7400	7785	8170	8545	8915	9262	9676	10141	10693	11265	11895	12582	13439	14470	15695	16998	18400	19645	20913	21941	22567	22916	23107	23262	23448	23819	24530	25488	26600	27682	28746	29821	30895	32078	33374	34973	36755	38739	40492	41668	44395	48908	51458	53803	55863	57905	59914	61810	63478	65138	66952	69061	71212	73189	74847																																																												
87	5215	5448	5687	5956	6258	6595	6952	7310	7660	8005	8331	8717	9154	9668	10203	10790	11431	12227	13184	14320	15530	16832	17993	19177	20142	20743	21118	21307	21478	21674	22043	22729	23646	24706	25740	26758	27789	28819	29953	31193	32718	34417	36306	37981	39117	41710	45986	48420	50664	52640	54602	56534	58360	59973	61578	63330	65363	67436	69345																																																												
88	4350	4549	4763	4983	5230	5507	5815	6142	6470	6791	7110	7411	7771	8176	8652	9148	9691	10284	11019	11901	12946	14061	15261	16336	17435	18338	18933	19294	19497	19677	19883	20250	20908	21780	22784	23766	24736	25718	26702	27782	28962	30409	32019	33808	35401	36492	38944	42972	45283	47419	49306	51182	53031	54782	56334	57879	59564	61513	63502																																																												
89	3569	3741	3920	4114	4315	4538	4789	5067	5361	5658	5950	6239	6519	6850	7224	7660	8115	8614	9159	9831	10636	11591	12609	13707	14696	15709	16564	17125	17482	17690	17879	18094	18455	19083	19906	20852	21780	22697	23628	24560	25584	26700	28064	29581	31266	32771	33813	36119	39891	42073	44094	45886	47669	49429	51100	52585	54066	55678	57538																																																												
90	2906	3025	3176	3337	3511	3690	3890	4114	4361	4624	4889	5151	5414	5671	5974	6314	6711	7125	7579	8074	8684	9414	10277	11199	12195	13098	14035	14827	15359	15702	15914	16112	16332	16684	17278	18051	18936	19807	20669	21544	22423	23386	24436	25714	27134	28711	30124	31114	33269	36778	38825	40727	42420	44105	45771	47355	48770	50181	51714																																																												
91	2343	2427	2529	2663	2805	2959	3118	3294	3491	3709	3941	4174	4409	4648	4881	5155	5462	5819	6193	6602	7048	7596	8251	9025	9853	10750	11574	12429	13157	13652	13982	14197	14399	14621	14962	15521	16240	17063	17873	18679	19497	20319	21219	22200	23389	24710	26176	27495	28429	30430	33673	35583	37361	38950	40534	42101	43595	44934	46271																																																												
92	1868	1926	1997	2087	2204	2328	2462	2600	2755	2926	3115	3317	3523	3733	3946	4156	4401	4675	4993	5326	5691	6090	6578	7160	7848	8586	9390	10136	10909	11570	12028	12343	12557	12761	12981	13307	13828	14493	15252	16001	16747	17506	18271	19106	20016	21115	22336	23689	24912	25787	27632	30610	32379	34032	35513	36992	38458	39858	41117																																																												
93	1455	1509	1557	1619	1698	1798	1905	2021	2140	2273	2420	2582	2757	2938	3123	3312	3498	3715	3957	4237	4531	4854	5206	5636	6147	6754	7410	8126	8792	9481	10077	10499	10797	11007	11208	11423	11732	12213	12823	13517	14205	14891	15589	16294	17064	17901	18910	20029	21270	22395	23209	24898	27612	29240	30765	32137	33508	34869	36172																																																												
94	1105	1153	1196	1239	1293	1360	1445	1535	1633	1734	1847	1972	2111	2262	2419	2580	2744	2908	3097	3308	3552	3808	4091	4399	4773	5219	5751	6329	6959	7546	8156	8688	9073	9351	9554	9749	9957	10246	10686	11241	11870	12495	13120	13758	14403	15106	15870	16788	17806	18934	19961	20713	22247	24701	26187	27583	28844	30106	31361																																																												
95	813	856	895	932	969	1015	1072	1142	1217	1299	1383	1477	1583	1701	1830	1964	2102	2243	2385	2548	2730	2939	3160	3404	3670	3992	4380	4841	5343	5889	6402	6938	7410	7756	8014	8206	8392	8589	8857	9256	9755	10320	10883	11447	12024	12608	13244	13936	14764	15682	16698	17628	18316	19698	21897	23242	24509	25659	26811																																																												
96	584	615	650	682	714	745	783	829	887	948	1015	1084	1162	1251	1350	1458	1571	1687	1807	1928	2066	2221	2398	2586	2793	3021	3298	3630	4025	4454	4923	5367	5832	6245	6554	6788	6968	7142	7326	7571	7929	8373	8876	9378	9882	10398	10922	11492	12111	12851	13670	14578	15412	16035	17268	19221	20427	21567	22605																																																												
97	409	430	455	483	509	535	561	592	629	675	724	778	834	899	972	1054	1143	1236	1333	1433	1534	1650	1779	1927	2084	2259	2453	2686	2967	3300	3663	4061	4441	4840	5197	5469	5679	5844	6004	6174	6394	6711	7102	7544	7987	8432	8889	9354	9859	10408	11062	11786	12587	13327	13886	14974	16691	17761	18776																																																												
98	279	293	310	329	351	372	393	413	438	467	503	542	585	631	683	742	808	880	956	1035	1117	1200	1295	1402	1525	1654	1802	1964	2158	2390	2666	2970	3303	3624	3961	4266	4502	4687	4836	4981	5134	5331	5608	5947	6331	6716	7105	7505	7912	8355	8836	9407	10039	10739	11388	11884	12834	14325	15265																																																												
99	185	194	205	218	233	250	266	282	298	317	340	368	398	432	469	510	557	609	667	727	791	858	925	1002	1088	1189	1299	1420	1553	1709	1899	2125	2375	2651	2917	3198	3455	3657	3818	3950	4080	4216	4388	4627	4918	5247	5579	5914	6259	6612	6995	7411	7904	8450	9055	9617	10051	10872	12153																																																												
100+	323	345	367	393	421	454	490	530	571	615	662	714	776	847	929	1020	1123	1239	1370	1517	1678	1855	2047	2251	2474	2720	2999	3302	3635	3997	4403	4873	5421	6051	6767	7544	8384	9255	10111	10925	11685	12402	13093	13792	14551	15402	16357	17397	18510	19691	20934	22253	23660	25202	26897	28762	30733	32690	34947
